,sentence,intent
5635,Geographical location of Denmark,49
5636,Let the smoker slow the room.,34
5637,Can you remind me what letters I have?,59
5638,You will remove the item from the list.,53
5639,Find me the version of the audiobook ready player one and play it for me,20
5640,suggest movies and songs that are not necessarily similar to those I said I like and that I might like,55
5641,I like classic rock.,43
5642,Speak more loud,14
5643,When Yuri last called me.,17
5644,When I have a visit to the dentist,32
5645,How much is $10 in Euro?,10
5646,What will the weather be tomorrow in the towns.,49
5647,Can you read my next memories?,32
5648,Remove this mail.,33
5649,Close the complaint,47
5650,Olly What Happens,6
5651,Tell me a joke that makes a smile on my face.,25
5652,Submit this,14
5653,Can you make me coffee now?,56
5654,Set this date as a repeat for a reminder.,50
5655,Set the music to 90,14
5656,Anyone on my Facebook is watching the game.,27
5657,Remove the event in the calendar.,30
5658,Olly change my light to blue and turn off the light in the kitchen,1
5659,I need a taxi to take me to the center.,54
5660,What alarms are set on the phone?,23
5661,Go to the nearest McDonald’s.,42
5662,Play Justin Bieber,45
5663,This song is too long.,7
5664,Popular Topics,22
5665,Check the weather application or,13
5666,I'm going to go to the cinema with a novel on March 20th.,50
5667,I would like to hear a good day on radio.,36
5668,Give me the latest updates from New York.,22
5669,Please send email to new email bartekbartek bear gmail point com,33
5670,It is two hundred divided by five.,39
5671,What time is my meeting on Saturday?,32
5672,Do you have to go to Cossacks?,13
5673,Make an event only on Monday.,50
5674,What is Stetoscope,26
5675,Tell me against which politician the investigation is on.,49
5676,Should I wear an untouched suit today?,13
5677,Should I bring a parasol to work today?,13
5678,Increase the noise of the music played now,14
5679,Please lower the fate rate for the nightmare without you.,28
5680,Play playlist for exercise,45
5681,send emails to frank at work,33
5682,Play the last pop song,45
5683,Look at the alarms I have.,23
5684,Give me a daily reminder,50
5685,I’m tired of playing something.,12
5686,Play the audio book by Harris,20
5687,How to Cook Cake,9
5688,The chicken has a temperature above zero during the year.,49
5689,Wake me up after the sun rises on Sunday.,12
5690,Listen to Playlist,45
5691,What the weather is here today?,13
5692,Do you think it will rain today?,13
5693,I have to book a ticket to the train from dating to Lublin,2
5694,Local Radio Knowledge,22
5695,push off,46
5696,Albert's New Wedding,50
5697,Will it be cold,13
5698,New Music,45
5699,Find a good recipe for stek.,9
5700,I have to set a meeting with Ana in three days from now,50
5701,Write this word on Instagram.,47
5702,Find out where the local shopping center is.,19
5703,What is my plan for tomorrow morning?,32
5704,Send me a reminder to call my daughter on Thursday for her anniversary,50
5705,I want to move my wedding to Saturday.,30
5706,Start Cleaning,34
5707,Real music is,43
5708,Turn off all the lights.,40
5709,Hi Olly or Jan recently sent me some emails,44
5710,Remember the fifth afternoon.,48
5711,What Happened in Beirut This Morning,22
5712,Kickball is over I no longer need a kickball alarm on Wednesday evening,52
5713,Please send an email to my father with a question about the weather in the village.,33
5714,Please send a post on Facebook,47
5715,Previous articleGoogle has no dog,49
5716,Add yoga classes in the afternoon for the next three weeks,50
5717,Remember me to call the young at thirteen on Thursday,50
5718,You have to send an email to my colleague.,33
5719,What music I usually like to listen to after work,57
5720,How many messages I have on the page,27
5721,Stop initiatives this week.,52
5722,Exclude,40
5723,I'm tired of Spotify please enable radio,36
5724,Where is Lyon?,49
5725,What Happens in News,22
5726,Can you set my alarm?,48
5727,Google wanted to hear my country playlist,45
5728,I need information about events before the end of the change.,32
5729,Check the contacts,33
5730,I want to listen to today's hits.,36
5731,Find out if this restaurant is making proof orders.,3
5732,Can I wear shorts today?,13
5733,Hello Google Please Remove the Dinner on Thursday,30
5734,How much is the price of the stock,4
5735,Find a mail from Bartk on the Bulldog,44
5736,10th,50
5737,What is the hour,0
5738,Remind me of the meeting with Julia today at the 17th.,50
5739,Tweet to the sugar shop that I didn't get my order in time,47
5740,I want to go to mcdo.,42
5741,Remove the list from the database,53
5742,I want you to find a good place to listen.,36
5743,Can you give me the contact details of this person?,17
5744,What is the temperature today,13
5745,The 5th of December is Sunday.,0
5746,Create new contacts for Joshua,15
5747,What I have on my shopping list,59
5748,Can you give me an hour in San Francisco?,0
5749,Remove Emilia's Birthday from Events,30
5750,Clean the calendar,30
5751,Breakfast at 8 a.m.,12
5752,What alarms have I set for today?,23
5753,Let me go to the shop for shopping.,47
5754,Check the new message in the receiver box.,44
5755,What news on TVN,22
5756,scis a little,35
5757,Read me my next reminder this afternoon,32
5758,Join the event for tomorrow meeting with Silvia at the 17th in the gym,50
5759,Recall a meeting with the agent at night.,48
5760,There are unread emails in Gmail.,44
5761,Check my calendar.,32
5762,Please play the last two episodes of Gilmore guys,58
5763,What is the cheapest marathon in a radius of 50 miles from here,12
5764,Wrocławski Race,6
5765,The Statue of Freedom,26
5766,What High School HALLLEY BARRY Goes?,49
5767,When the train departs from the Cracow Main Station,42
5768,Google is the best and cheap place to stay in the boat,19
5769,Tell me how old you are.,49
5770,What Jets Now Hour in Canada,0
5771,I want to start my email in this way.,33
5772,Delete office meeting next week.,30
5773,Show the service number Jan,17
5774,How many days are left until May 25th?,0
5775,What are my plans for next Friday?,32
5776,How many months is a year,49
5777,Show me information,22
5778,Where is Campino Park?,49
5779,What is in my plan for today?,32
5780,How to Cut the Roman Fever,9
5781,Play a hundred one and three f. m.,36
5782,Remove the event,30
5783,Can I Order Delivery from Viva La Pizza?,3
5784,Today was cold.,12
5785,Politics,12
5786,Look for free time,12
5787,How to Make a Roman Feet,9
5788,Googles Open List to Googles,53
5789,I would like to listen to Sanah please find her,45
5790,We need sports news.,22
5791,you have to find an alternative route to my destination.,42
5792,Do I have to shut down the entrance to my house?,13
5793,Please open the article in the Election Journal.,22
5794,Remove my speaker.,46
5795,If there is the sixth morning which hour is in Tokyo,38
5796,Add an event every second Friday of the month,50
5797,What is Snoopy,26
5798,Start the alarm for tomorrow on Monday at 8 a.m.,48
5799,Tell me how to run before you run.,12
5800,This song was recorded for the first time.,57
5801,Reduce the intensity of light,31
5802,Remove the next event,30
5803,Find the latest information from the currency market.,10
5804,Olli sends a negative opinion about the company,47
5805,Remove my next meeting.,30
5806,The weather on Wednesday has changed.,13
5807,Please enable my Dryer.,34
5808,Go to the smoker.,34
5809,Notify me an hour before my meeting.,50
5810,Please turn off my alarm tonight.,52
5811,Do I get to Warsaw in time to know?,42
5812,A description of the word TV,26
5813,You received a mail from this person.,44
5814,What is the lowest price for the first zoelli book?,49
5815,This happens today.,22
5816,increased noise,14
5817,Find the perfect girl for me.,49
5818,fall rain,13
5819,Open a new list,21
5820,Increase the noise,14
5821,Look for me,12
5822,Olly Change the Song,28
5823,Turn off the light in the bedroom.,40
5824,Lose the music randomly,28
5825,Light up to 50 percent,1
5826,There is an article about the polar bears.,22
5827,I have recently received emails from my mother.,44
5828,Add a song to the new playlist,21
5829,Time and Date,2
5830,How High Is Peak Peak,49
5831,Give me instructions how to get from here to the sand browares in the wroclave,42
5832,When the next train departs,42
5833,Share the list,59
5834,What is the specification of the new iPhone,12
5835,Give the temperature of water.,49
5836,Tell my family that this is an email.,33
5837,Please repeat,45
5838,Save the swimming for Thursday and set the repetition,50
5839,Remove bananas from my shopping list,53
5840,How many new emails are available from this broadcaster or on this topic,44
5841,What lists you have with you now?,59
5842,Today's date and time,0
5843,Is it windless today?,13
5844,Play with me in chess.,51
5845,The Light of Alex,18
5846,Can I listen to the podcast?,58
5847,What are the news,22
5848,Can you tell me what the weather will be tomorrow?,13
5849,Look for classical music and play,45
5850,How do you know the stupid joke?,25
5851,The streets are now covered.,11
5852,Twelfth is the second Saturday.,0
5853,Please provide the latest news from the policy.,22
5854,Add a new contact and send an email,33
5855,Please turn off all external lights.,40
5856,Do I have to close the window before I leave in the afternoon?,13
5857,Make a tournament in Candy Crush,51
5858,Please make coffee.,56
5859,Who wrote to me or mentioned me on social media,27
5860,What is the hour,0
5861,I would like to talk about it,12
5862,hello olly leave my complaint to the microsoft monkey on Twitter,47
5863,Continue to play Duma and Prejudice,20
5864,Find the shortest distance to your destination.,42
5865,Have I recently received a mail?,44
5866,I have a match on April 7th.,32
5867,Go to the place where I ended.,20
5868,I want to play passion with you.,51
5869,Today I came to my old friend Mark.,12
5870,Find a mail from my boss Michael,44
5871,How high is Tatrzan National Park?,4
5872,Where Marlon Brando was born?,49
5873,I have a meeting for lunch today.,32
5874,Notice me at the fifth that I am going to a concert.,48
5875,Change the color of the light to green.,1
5876,Today is my brother’s birthday.,32
5877,Next month is my brother’s birthday.,50
5878,What alarms are installed?,23
5879,Please play my list of the best songs.,45
5880,Latest Financial Information,22
5881,Open the circle and the cross from the previously played level,51
5882,Do I have a mail from work?,44
5883,Include Techno Music,45
5884,Make a list of today's tasks,21
5885,What are the synonyms of peaceful words,26
5886,Please open the remic and play with me.,51
5887,Order tickets for the train to Cossalin at 5 a.m.,2
5888,Can I order from Tel Aviv?,3
5889,Please find events in March.,32
5890,Alexa What is a Computer?,26
5891,Back to the previous podcast.,58
5892,What the weather will be in Katowice today?,13
5893,Tell me about the mail from David about the meeting.,44
5894,Zooplus forgot to deliver two of my items inform them,47
5895,Music Metal,45
5896,What are the latest prices on the stock market?,4
5897,What is on my shopping list,59
5898,Where the festival begins,32
5899,What is in the news of the 9th,22
5900,What You Can Do,12
5901,Order delivery from the restaurant Sao Mai I want soup with chicken,16
5902,I got a mail in the last hour.,44
5903,Google searches for themes,22
5904,Please set the alarm to the seventh.,48
5905,Remove my first alarm tomorrow.,52
5906,I have an alarm for today.,23
5907,I was nice too.,12
5908,Get the news today from TVN twenty four,22
5909,My arrival was difficult today.,12
5910,Can you find me a train ticket to Warsaw on the weekend of May?,42
5911,Add me a reminder to watch the new movie today at 9 a.m.,50
5912,How far is the train from there.,42
5913,What is the weather in Warsaw?,13
5914,Play my favorite radio station.,36
5915,Go to your contacts and add a new mail to your list.,33
5916,Pause for 10 seconds,46
5917,What are the headlines in the electoral newspaper?,22
5918,What is the weather today,13
5919,I do nothing this week.,30
5920,"I love everything, John",43
5921,Can you tell me more about this festival?,12
5922,How will my calendar look next week?,32
5923,Your response will depend on your chosen role.,49
5924,Radio ZET,58
5925,Give me a short forecast of Microsoft stock prices for the next 30 days.,4
5926,Can you buy a train ticket?,2
5927,Olly find a bar.,54
5928,Evaluate this song for five stars and write a rating.,43
5929,include the music related to the music I listened to this morning,45
5930,How long do you have to wait for potato purée?,9
5931,Open My Morning Newsletter from the Election Newspaper,22
5932,Time,0
5933,I need to plan a meeting tomorrow.,50
5934,Planning a visit to the doctor on Friday.,50
5935,Eternal Noise,14
5936,How many Beatles are still alive,49
5937,How high is Jennifer Aniston,49
5938,Check the mail today.,44
5939,Give me an hour,0
5940,What Happened Yesterday,22
5941,The nearest good restaurant.,19
5942,What to do with the butter,9
5943,What happens to the new supplier?,22
5944,News from the regional newspaper,22
5945,Play Hip-Hop in Scorpio,36
5946,What to put if it is cold at the court?,13
5947,Play the open f. m.,36
5948,Search and check,17
5949,Can I buy a train ticket today?,42
5950,Olly I need to get on Friday evening to the gold stock or you can order me a ticket please,2
5951,I want to hear a song but jazz.,45
5952,Release the dog,12
5953,Olly disconnect light,40
5954,Remember me after a month.,50
5955,Check my calendar for today.,32
5956,The Terrible Service,47
5957,What Asian restaurants nearby offer food for the outcome,3
5958,Create the next part of this series.,58
5959,Read the last email,44
5960,Play music from your favourites,45
5961,Find me the cheapest copy of the four-hour body,12
5962,Time in Chicago,0
5963,Tweet to samsung about login errors,47
5964,Play the Moral Salt of Fears,45
5965,Let's play the game,51
5966,setting the light,1
5967,Tell me from whom I got my mail.,44
5968,Do I have lessons on Monday?,32
5969,What movie should I watch,55
5970,What are the last tweets from the newspaper?,27
5971,Write a tweet to support the tmobile client,47
5972,Send an email to your family with details of receipt,33
5973,Show me the posts of my friends from the last hour,27
5974,The weakness of light,31
5975,What the weather will be today,13
5976,Do I have something to fix today?,59
5977,15th of each month.,50
5978,Tell me what the weather is.,13
5979,Send a message by email,33
5980,Order a train ticket to Newcastle.,2
5981,Send an email to Christoph for work tomorrow,33
5982,What to hear,5
5983,As you have today,12
5984,Change things from the list.,59
5985,I want to add the event to my calendar.,50
5986,Remove this post from my list.,53
5987,I go to my office.,12
5988,The exchange rate of the dollar to the euro.,10
5989,Where is Botswana,49
5990,Do you have an email on the topic?,44
5991,increased noise,14
5992,Give the sum of four plus six,39
5993,Remove the last post on the list.,53
5994,How many calories I burned during my 50 minutes of yoga,12
5995,What are all my lists?,59
5996,Please remove this alarm.,52
5997,Fire in Voltaire,22
5998,What is the time in China?,0
5999,Tom sent me an email.,44
6000,Keep this song for the time I will need comfort.,43
6001,What is the address of Janka Kowalski?,17
6002,Olly Time in New York,0
6003,Write my opinion about the song you can now hear.,43
6004,which cities were destroyed by the earthquake,22
6005,hejn olly I got some new mail,44
6006,The event in my neighborhood,6
6007,Create a new list.,21
6008,It will be cold in the coming days.,13
6009,The last hit and the latest album of their three,45
6010,Order a taxi now.,54
6011,Show me the latest news.,22
6012,Play that song when it beat twenty-fourth,45
6013,Continue the next podcast.,58
6014,Show where I can find the train.,42
6015,Please tell me about the sunrise.,26
6016,Brighten the light in the salon.,18
6017,Nathalie is married.,49
6018,How big is the step to eight,11
6019,Tweet to the service by complaining on the service in the table and wool camp,47
6020,Playing Small Women,20
6021,Remove the event from the calendar,30
6022,Reply to my mail.,44
6023,Today is the last train.,42
6024,Notify me of my meeting on Tuesday.,50
6025,increased noise,14
6026,Define the word uninterrupted.,26
6027,Include my Michael Jackson playlist,45
6028,Activate the Drying Work,34
6029,Find the lamp,26
6030,Write a complaint to the poor,47
6031,Send an email to my wife about the weather next week,33
6032,Order me a car.,54
6033,Michael Jackson has died.,49
6034,Start a new mail to Jerzy Barranchak,33
6035,Please leave the rap music.,45
6036,Stay the alarm for 40 minutes.,48
6037,Order me risotto with fish from giuseppe,16
6038,My day was quite crazy today.,12
6039,Tell me if this is true about the weather.,13
6040,Olly Coffee,56
6041,The water account was too high.,12
6042,What is Lenin,26
6043,Cancel the upcoming event,30
6044,Drawing this light,18
6045,What meetings are available in March,32
6046,Show me nearby restaurants with delivery,16
6047,When is the National Day,32
6048,Find the region,49
6049,Where are the Holy Mountains,49
6050,Olly sends a tweet to Google customer service that their products are weak,47
6051,Which football player has the best results,49
6052,Make a simple recipe for a hot meal.,9
6053,Please send me a taxi home.,54
6054,Turn off the light in the bathroom.,40
6055,I would like him to be able to determine if something begins to smoke and turn off the kitchen or microwave.,12
6056,What is Organism,26
6057,As if you described a tennis ball,26
6058,Play the last added songs,45
6059,I want an express to make me coffee.,56
6060,Remember before Monday.,50
6061,There is an active alarm.,23
6062,Try to play the old music of the 90s.,45
6063,Tell me about Albert Einstein.,49
6064,Do you want to play the game,51
6065,Change my current calendar.,30
6066,Order me a cup of Sphinx.,16
6067,Please get the latest sports news.,22
6068,Show today’s information about migration,22
6069,What Means,26
6070,Enable me radio,36
6071,Restore the audio book,20
6072,Remind me of my meeting today.,50
6073,Check my notifications on Facebook.,27
6074,Change this,58
6075,Add a carrots to it.,21
6076,Remember me that I have a sales meeting at the 7th morning on this Thursday and add them to your calendar,50
6077,There is a biobazar with local products.,19
6078,What meetings took place between 1st and 12th January?,32
6079,Can you order me a taxi?,54
6080,Do you think you will be able to put shorts this week?,13
6081,Can you guarantee that you can choose the winning lottery numbers?,12
6082,Add coffee to your shopping list.,21
6083,Tell me about George Washington,49
6084,Give me an email that we’re late.,33
6085,Notification before this event.,50
6086,The eighth morning in Manila is the hour of Eastern Time.,38
6087,Life Goals,12
6088,I want to listen to the podcast imponderabilia that is played tonight,58
6089,Please check the mail.,44
6090,I want to answer my last mail.,33
6091,Open Twitter and write a new tweet that Polsat has a terrible customer service,47
6092,As you have today,5
6093,Enemy,14
6094,Create the greatest hits,45
6095,Make an event for Jan's birthday,50
6096,Please remove the alarm that I set up.,52
6097,Olly I'm tired,12
6098,Read my current shopping list.,59
6099,Tomorrow is the football training.,32
6100,Change the color to green.,1
6101,Start Google Chrome,17
6102,What I do this week,12
6103,increased noise,14
6104,Send the mail,33
6105,Snapchat is good after the first public offer.,22
6106,Make a little coffee.,56
6107,History of Persons,12
6108,What is Janka number?,17
6109,Next Alarm Please,48
6110,I ate breakfast this morning.,12
6111,How to cook spaghetti,9
6112,Horoscope,12
6113,What is the time in Poland now compared to U.S.A.,38
6114,Tomorrow is free.,12
6115,I want to know the latest local news from Warsaw,22
6116,Write the Lali Lali song on my playlist,43
6117,Please give me the latest tweets from my tweet.,27
6118,Remove My Wemo Node Now,8
6119,How old is Irena Flower,49
6120,If in Moscow is the north which hour is in Munich,38
6121,Send an email to Alex with a request for the payment date,33
6122,Play me Harry Potter from the place where I recently ended I want to listen from audiotek,20
6123,Add date and time to your calendar with these people,50
6124,Repeat the current audio book,20
6125,Do I have any meetings scheduled for the twenty-fourth of March two thousand seventeen?,32
6126,Can you remove it from my calendar?,30
6127,What is the weather that day?,13
6128,Make a reminder of gymnastics every Wednesday at 3 a.m.,50
6129,Why should I use you if I can find myself?,12
6130,The Jazz Songs,45
6131,Write a tweet to support customers about their dirty areas,47
6132,How much does the ball cost?,49
6133,Find a recipe and give instructions for preparing this food.,9
6134,Mystery,12
6135,Where can I treat my pet?,12
6136,Tell me about my birthday.,50
6137,Make the light less bright,31
6138,Go to Radio,36
6139,Do I have a task today?,32
6140,Please add your birthday on March 5th.,50
6141,What is the mail from Ben?,44
6142,Order me a taxi to the airport.,54
6143,I have a complaint with Pepco.,47
6144,Twenty-Fourth is the day of the week.,0
6145,It is too dark to increase the brightness.,18
6146,Write into your calendar training at eight every day this week,50
6147,Incorporate the wemo,24
6148,Please give me the contact information of my brother.,17
6149,What is the date today,0
6150,Remove tasks from my list of things to do,53
6151,Playing Jazz Sanah,45
6152,Open the f. m.,36
6153,switch to r. m. f. m.,36
6154,What does the word joke mean?,26
6155,Play music randomly,45
6156,I want to listen to the present dance hits.,45
6157,Weather forecast,13
6158,What new posts are on my page?,27
6159,Play new albums,45
6160,Make a new list of supplies to school,21
6161,Tomorrow’s meeting is in the office.,32
6162,I like rock music.,43
6163,What you want to do today to play outside,12
6164,Music will increase to nine.,14
6165,What is the best recipe for cake with pieces of chocolate?,12
6166,All the lights must be turned off during the day.,40
6167,Activate Drying,34
6168,What I have to do today,59
6169,We need milk,21
6170,"Google What Weather Will Be on March 20th, Two Thousand Seventeen",13
6171,The price of the shares I lost.,4
6172,I need a recipe on spaghetti alla puttanesca a thousand nine hundred and seventy years ago.,9
6173,I have a new mail.,44
6174,I want to know the meaning of the word.,26
6175,With whom I will meet tomorrow at work?,32
6176,What is the replacement of milk?,9
6177,Remove my next event from the calendar.,30
6178,I slept today,12
6179,Cancel your visit to the doctor this weekend.,30
6180,Remove all events from my calendar.,30
6181,Send a reply to this mail,33
6182,How to make a serum,9
6183,What will the weather be on March 16th?,13
6184,The train is on the next station.,42
6185,Do you want to play in passion?,51
6186,What is on my shopping list,59
6187,The last session of joes book,20
6188,What this subject shows,26
6189,President Abdul Kalam,49
6190,Exhaust for another three hours.,46
6191,Remove my scheduled events from the calendar if you can,30
6192,Give me the latest results.,22
6193,I want a ticket to the train.,2
6194,The nearest hairdresser,49
6195,What is the name of the song,57
6196,Add the title to the wish list,21
6197,Show the latest mail,44
6198,I want some curry for some olly recommendations.,3
6199,Find Information,49
6200,Please remove the list.,53
6201,Olly Mow,14
6202,OK,30
6203,What's New in the Computer Games Industry,22
6204,Radio Zet will be broadcast by Gina and desta.,36
6205,Check out the best restaurant near me and order shahi paneer,16
6206,Play the music list of the avatar,45
6207,Maile by Anna Kowalskaya,44
6208,Which country you are from,12
6209,Where the Rocky Mountains Start,49
6210,What can I do with a laptop?,26
6211,Good day as you have,5
6212,What’s happening this week.,6
6213,Brighten the light in the salon.,18
6214,Great,57
6215,Play a song but jazz,45
6216,Do you see if Janus replied to my email?,44
6217,When I have to pay the bills,32
6218,Tell me about the mail from the last hour.,44
6219,I was released from work today.,12
6220,Send an email to Jan about our meeting.,33
6221,What I have to meet today,32
6222,Which radio station I wanted to leave,36
6223,Just change the meeting on time.,30
6224,How much does Nestlé cost?,4
6225,The meaning of the word homo sapiens,26
6226,Give me a sample on the wheel field,39
6227,What is the Silvia mail address?,17
6228,Show me the weather for the last five days.,13
6229,Open the list of purchases and add milk.,21
6230,Light to 7,31
6231,Please take a movie.,55
6232,Which city is the Bolshoi Theatre?,49
6233,How much I got the news today,27
6234,What information you collect about me,12
6235,Remove Dust by Dryer,34
6236,Release the Impossible Audio,20
6237,What color is the sky?,49
6238,Next post Please,58
6239,Play a lot of song.,45
6240,Remove all events from my calendar.,30
6241,The road in the sand is clean.,11
6242,Open Twitter and see what’s new on Twitter,47
6243,10 percent of 100,39
6244,Call me for my birthday.,50
6245,The alarm on November 10 on the watch.,48
6246,Check and see if there are new emails from the company.,44
6247,I want to listen to jazz.,45
6248,Write this event in my calendar.,50
6249,Give me some metal.,57
6250,How many countries are in the EU,49
6251,Will the weather be good today?,13
6252,Remember to check the cake in 30 minutes.,50
6253,Ask who March and Juliana to meet on Thursday at the 15th,50
6254,A hundred and three f. m.,36
6255,Turn the light over your head.,41
6256,I have to set the alarm as much as I have set,23
6257,Leave a photo on the page,47
6258,Please set the wake up for my next meeting with the team at 15th on Friday.,48
6259,Alex Reduce Light Brightness,31
6260,Leave this song to the latest songs of Sanah,45
6261,I need you to remove the item from my list.,53
6262,Contact Leo,47
6263,Find a place from Tacos near my home,19
6264,Which wilderness is the hotest,49
6265,What is the exact information about Jani in the contacts,17
6266,Be prepared before the event begins.,50
6267,It will be snow on Tuesday.,13
6268,I want to hear the Shimon of Mayow in the golden battle.,36
6269,Where are the Russians,32
6270,When the order will be submitted,3
6271,I want to solve mathematical problems.,12
6272,What is the time in Canberra?,0
6273,Is there a train from Cossalin to Warsaw in the south,42
6274,A radio one and three f. m.,36
6275,The restaurant is open at north.,19
6276,What is the schedule for the next three hours?,32
6277,Is there any problem with waste food and alcohol?,12
6278,Play the Songs,45
6279,Number of food positions in my list.,59
6280,What alarms are set in the morning?,23
6281,EMAILY Janina Jagodzińska,44
6282,Tell me how my representatives in the session voted on reproductive health issues,22
6283,Tennis,12
6284,Please tell me where the markets will be this year,32
6285,What is tomorrow date?,0
6286,Listen to sports interviews,36
6287,Harry Potter and the Stone of Philosophy,20
6288,Congratulations to what you spend,12
6289,What will the weather be tonight?,13
6290,What is the best pizza for Christmas?,19
6291,Olly check the events and meetings in the Mokotovsky Park,6
6292,What are the latest news for Gdańsk,22
6293,Description of events,32
6294,How to Enable Timer in the Coffee Express,56
6295,Remove everything from the twenty-nine.,30
6296,The alarm was set to the twenty-first on Thursday night.,48
6297,Add a position to the list,21
6298,Michael Jackson is dead.,49
6299,Sports Results,22
6300,What are the next three alarms to be connected?,23
6301,Leave the playlist randomly,28
6302,Take my calendar.,30
6303,Have you solved,12
6304,How many reminders,32
6305,Remove,30
6306,Check the emails from Natalia.,44
6307,Download a dictionary,49
6308,Where to eat well in the Mikotawa area,19
6309,Which week of the year begins the summer season,0
6310,What is Salisbury,26
6311,Enable the Dryer,34
6312,Free,14
6313,Please add a meeting on the sixth every Tuesday.,50
6314,Do I have unrealised tasks?,32
6315,"What is the end of the world, you think.",12
6316,Is there any new information from a person?,44
6317,Check the mail from mom.,44
6318,I want to listen to Radio Zet.,36
6319,I don’t want any events in the calendar.,30
6320,Go to the map,42
6321,Remember to take the medicine every day at 7 a.m. for the next two weeks.,50
6322,Open a Calendar and Create a Reminder,50
6323,How long is this song?,57
6324,Remove my alarm at the 15th.,52
6325,What is Curry,9
6326,Hey write my complaint on Microsoft on Twitter,47
6327,What are the news from Twenty Four?,22
6328,What is Google,26
6329,What a good movie is now on the screen.,55
6330,Give me the latest information about Angelina Jolie,12
6331,What is the current date,0
6332,Please enter my birthday reception in the calendar.,50
6333,Tomorrow’s temperature will be high.,13
6334,Turn off the light in the room.,40
6335,Give me the details of the upcoming Oscars in two thousand seventh,32
6336,What is the euro equivalent in gold?,10
6337,What TV shows is Jennifer Aniston?,49
6338,Remove my full calendar for today.,30
6339,Send a mail to a friend,33
6340,Do you need a suit today?,13
6341,What are the meetings between 1st May and 31st December?,32
6342,What meaning is life,12
6343,Open the receiver box,44
6344,Please order me pizza and wings with papa johns now,16
6345,What is the price of Google,4
6346,Write a tweet to Thaiwok that your service was not nice,47
6347,scis the noise,35
6348,Release the radio,36
6349,What is the hour in Dubai,0
6350,Can you order in this restaurant?,3
6351,The last mail,44
6352,How long will I wait until the pizza comes here?,3
6353,Remove all upcoming yoga courses,30
6354,What is tomorrow in my calendar?,32
6355,How long to cook meat on a hamburger on every side?,9
6356,What is the weather today,13
6357,Play the song of Sanah,45
6358,Define the computer.,26
6359,Remove Birthday Fear from the Calendar,30
6360,Can you add this event to Karol?,50
6361,How many alarms,23
6362,Show me the previous section.,58
6363,I need a twenty-first alarm.,48
6364,Can you remove a reminder?,30
6365,Turn off the light in the bathroom above.,40
6366,Write the Invisory Book,20
6367,Change the meeting plan,30
6368,Olly Play Any Song of Tupaca,45
6369,Where is Montana,49
6370,How to make rice from the patel,9
6371,I have to make a meeting with Jack.,50
6372,Tell me how fast it will fly in the sun.,12
6373,Time of Silence,46
6374,Local News,22
6375,Awakening to the Fifth Thirty,48
6376,Show the best actions at this time.,4
6377,How many grams of butter are in a cup,49
6378,Leave the news,36
6379,Spotify Radio,36
6380,Tell me about Daniel's book.,49
6381,I am in the mood of some classical music.,45
6382,Give me the latest sports news.,22
6383,What is on my list?,59
6384,What important dates are in my calendar this month,32
6385,The alarm at the back output is set and ready to work.,23
6386,Give me a message,22
6387,Meeting at 7 a.m.,50
6388,Open the Event Calendar,50
6389,What is the meaning of life,12
6390,Please speak loudly,14
6391,Can I find gold in every public area?,12
6392,When the Birthday of Jerry Tree,49
6393,Can you search and re-add the old mail to my contacts?,15
6394,check if k. f. c. provides please,3
6395,Please connect my favorite radio station.,36
6396,Continue reading Inspection,20
6397,Brighten the light on the front line.,18
6398,Tell me a joke,25
6399,I want to know something about Donald Trump.,49
6400,What is a Contact Lens,26
6401,I had a relaxing day today.,12
6402,How many alarms are set now,23
6403,It was a crazy day.,12
6404,"In the morning, I should call my mother.",50
6405,What events are planned this week?,32
6406,Send me a reminder of my daughter's birthday on Thursday.,50
6407,Please remove tricep pulldown from your training list.,53
6408,Surface of North America,49
6409,The train is in Warsaw.,42
6410,Write a tweet saying that they should be shot instead of jcpenney,47
6411,Google MediaCape Price,4
6412,Include brighter light,18
6413,What is happening in the world today,22
6414,Check if there are new messages to read.,22
6415,What day in the week is November 14th?,0
6416,Send an invitation to Mary.,33
6417,Dark the light,31
6418,Read my playlist with your favorite national name and play,58
6419,Add a new mail to Ana,15
6420,What music is playing,57
6421,What time is now in New York?,0
6422,Add your family phone number on Instagram,47
6423,Where the cows come from?,49
6424,What is the weather in my city?,13
6425,Alexa play squat on open f. m.,36
6426,Remove the speaker,46
6427,What are the events in this area?,6
6428,Can you tell me what the day is?,0
6429,Send me a new mail.,44
6430,Can you add this event with a junk?,50
6431,This is the time in the Pacific time.,0
6432,Change my alarm.,52
6433,Thanksgiving Day on Friday,50
6434,Thank you very well today.,12
6435,Remove the egg from the list.,53
6436,Where are the highest waterfalls in the world,49
6437,Train to New York,2
6438,He doesn’t want a sheep.,46
6439,Remember the tomorrow meeting.,50
6440,Write to my husband that I will be late in the evening,33
6441,I want intense colors.,1
6442,Play with me in Skrable,51
6443,Remind me every year on that day.,50
6444,Next Post Next post: Please,58
6445,Change my alarm to mountain time.,48
6446,Can you find the radio station on Spotify I listened to yesterday?,36
6447,Can you tell me to check my clothes in an hour?,50
6448,send the alert mail to silvia,33
6449,Please write this message on my Facebook page.,47
6450,Go to your favorite list,58
6451,Make a meeting with a friend,50
6452,There is something from today.,12
6453,Please remove this list.,53
6454,Show the weather for a week,13
6455,You need to add water to the crawler list,21
6456,Tell me what will happen on Thursday.,32
